Match_no,Batsman,Bowlers,Batting_allrounders,Bowling_allrounders
1,5,4,0,2
2,3,4,4,0
3,4,4,3,0
4,6,2,0,3
5,4,4,3,0
6,4,4,3,0
7,4,4,3,0
8,3,4,3,1
9,4,4,2,1
10,4,4,3,0
11,4,4,2,1
12,4,3,3,1
13,4,2,2,3
14,4,3,3,1
15,4,4,2,1
16,3,4,3,1
17,4,4,3,0
18,4,4,3,0
19,4,4,3,0
20,4,4,3,0
21,5,3,2,1
22,4,4,3,0
23,4,5,1,1
24,5,4,1,1
25,5,3,1,2
26,4,4,2,1
27,4,4,3,0
28,4,4,3,0
29,5,3,1,2
30,4,3,2,2
31,5,5,1,0
32,5,5,1,0
33,4,5,2,0
34,6,4,1,0
35,4,5,2,0
36,4,2,2,3
37,3,3,3,2
38,4,4,2,1
39,4,4,2,1
40,5,4,2,0
41,5,4,2,0
42,5,4,1,1
43,4,3,2,2
44,6,2,2,1
45,5,4,1,1
46,5,4,1,1
47,5,4,1,1
48,5,5,1,0
49,5,3,1,2
50,5,4,0,2
51,4,4,1,2
52,5,4,1,1
53,4,3,3,1
54,5,4,1,1
55,5,4,1,1
56,4,5,2,0
57,4,5,2,0
58,4,5,2,0
59,4,5,2,0
60,4,5,2,0
61,4,5,2,0
62,5,4,2,0
63,5,4,2,0
64,4,3,2,2
65,5,4,1,1
66,5,3,2,1
67,4,3,2,2
